game,date,School,home_away,opponent,type,win_loss,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,4,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,Robert Frozena
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,8,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,1,0,1,0,0,Jamail Jones
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,12,1,1,1,1,1,1,0,0,NA,2,2,1,1,6,7,1,0,1,1,2,4,Joe Fulce
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,13,1,2,0.5,1,2,0.5,0,0,NA,0,1,0,0,2,2,5,1,0,2,1,2,Junior Cadougan
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,13,7,7,1,7,7,1,0,0,NA,3,3,1,2,3,5,0,0,2,1,1,17,Davante Gardner
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,15,5,8,0.625,5,8,0.625,0,0,NA,1,4,0.25,4,3,7,0,0,0,0,0,11,Jae Crowder
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,21,4,10,0.4,3,7,0.429,1,3,0.333,4,5,0.8,1,1,2,2,1,0,1,1,13,Darius Johnson-Odom
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,22,3,7,0.429,1,3,0.333,2,4,0.5,1,3,0.333,1,1,2,7,0,0,2,2,9,Dwight Buycks
1,2010-11-12,Marquette,NA,Prairie View,REG,W,1,9,1,3,0.333,1,1,1,0,2,0,0,2,0,0,3,3,0,0,1,3,2,2,Reggie Smith
1,2010-11-12,Marquette,NA,Prairie View,REG,W,1,10,1,1,1,1,1,1,0,0,NA,0,0,NA,0,2,2,1,1,1,0,0,2,Chris Otule
1,2010-11-12,Marquette,NA,Prairie View,REG,W,1,19,4,6,0.667,4,6,0.667,0,0,NA,4,4,1,0,3,3,0,1,0,0,4,12,Erik Williams
1,2010-11-12,Marquette,NA,Prairie View,REG,W,1,26,7,12,0.583,7,11,0.636,0,1,0,4,5,0.8,3,3,6,3,2,3,2,2,18,Jimmy Butler
1,2010-11-12,Marquette,NA,Prairie View,REG,W,1,28,2,3,0.667,2,3,0.667,0,0,NA,3,6,0.5,3,4,7,5,4,3,4,3,7,Vander Blue
2,2010-11-14,Marquette,NA,Bucknell,REG,W,0,3,0,1,0,0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,Joe Fulce
2,2010-11-14,Marquette,NA,Bucknell,REG,W,0,12,4,6,0.667,4,6,0.667,0,0,NA,3,4,0.75,2,5,7,0,0,0,1,1,11,Davante Gardner
2,2010-11-14,Marquette,NA,Bucknell,REG,W,0,14,0,1,0,0,1,0,0,0,NA,1,2,0.5,0,3,3,2,0,0,2,1,1,Junior Cadougan
2,2010-11-14,Marquette,NA,Bucknell,REG,W,0,21,2,6,0.333,2,3,0.667,0,3,0,4,6,0.667,0,2,2,2,2,0,4,4,8,Darius Johnson-Odom
2,2010-11-14,Marquette,NA,Bucknell,REG,W,0,28,2,4,0.5,2,3,0.667,0,1,0,6,9,0.667,2,8,10,1,0,0,1,4,10,Jae Crowder
