Rk,Date,School,X4,Opponent,Type,X7,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,22,3,7,0.429,1,3,0.333,2,4,0.5,1,3,0.333,1,1,2,7,0,0,2,2,9,Dwight Buycks
2,2010-11-14,Marquette,NA,Bucknell,REG,W,0,31,4,6,0.667,1,3,0.333,3,3,1,6,6,1,1,2,3,3,1,1,3,2,17,Dwight Buycks
3,2010-11-17,Marquette,NA,Green Bay,REG,W,1,25,5,8,0.625,3,5,0.6,2,3,0.667,0,0,NA,2,1,3,6,2,0,1,0,12,Dwight Buycks
4,2010-11-20,Marquette,NA,South Dakota,REG,W,1,28,5,11,0.455,5,10,0.5,0,1,0,1,1,1,1,6,7,3,1,0,3,1,11,Dwight Buycks
5,2010-11-22,Marquette,N,Duke,REG,L,1,23,2,6,0.333,2,3,0.667,0,3,0,0,2,0,3,2,5,1,0,0,3,2,4,Dwight Buycks
6,2010-11-23,Marquette,N,Gonzaga,REG,L,1,32,3,8,0.375,2,3,0.667,1,5,0.2,2,2,1,0,2,2,6,0,0,4,3,9,Dwight Buycks
7,2010-11-27,Marquette,@,Milwaukee,REG,W,1,35,3,8,0.375,2,4,0.5,1,4,0.25,0,0,NA,0,5,5,6,5,0,3,0,7,Dwight Buycks
8,2010-12-04,Marquette,NA,Longwood,REG,W,1,25,5,10,0.5,5,8,0.625,0,2,0,0,0,NA,1,3,4,5,1,0,1,1,10,Dwight Buycks
9,2010-12-11,Marquette,NA,Wisconsin,REG,L,0,26,6,8,0.75,5,7,0.714,1,1,1,0,0,NA,0,3,3,3,0,0,1,3,13,Dwight Buycks
10,2010-12-18,Marquette,NA,Centenary (LA),REG,W,1,30,3,5,0.6,3,3,1,0,2,0,2,2,1,0,3,3,5,3,0,3,3,8,Dwight Buycks
11,2010-12-21,Marquette,NA,Mississippi Valley State,REG,W,1,28,1,5,0.2,1,3,0.333,0,2,0,5,5,1,1,2,3,7,5,0,1,3,7,Dwight Buycks
12,2010-12-29,Marquette,@,Vanderbilt,REG,L,1,34,6,9,0.667,5,7,0.714,1,2,0.5,0,0,NA,0,4,4,4,2,0,4,2,13,Dwight Buycks
13,2011-01-01,Marquette,NA,West Virginia,REG,W,1,27,4,8,0.5,3,4,0.75,1,4,0.25,0,0,NA,0,3,3,4,0,1,1,4,9,Dwight Buycks
14,2011-01-05,Marquette,@,Rutgers,REG,W,1,11,0,0,NA,0,0,NA,0,0,NA,0,2,0,0,1,1,1,0,0,0,0,0,Dwight Buycks
15,2011-01-08,Marquette,@,Pitt,REG,L,1,32,6,9,0.667,3,5,0.6,3,4,0.75,4,5,0.8,3,1,4,3,0,0,0,1,19,Dwight Buycks
16,2011-01-10,Marquette,NA,Notre Dame,REG,W,1,34,7,9,0.778,2,4,0.5,5,5,1,2,2,1,1,3,4,1,1,0,4,0,21,Dwight Buycks
17,2011-01-15,Marquette,@,Louisville,REG,L,1,36,5,11,0.455,3,6,0.5,2,5,0.4,1,2,0.5,0,5,5,5,1,0,5,0,13,Dwight Buycks
18,2011-01-18,Marquette,NA,DePaul,REG,W,1,28,5,10,0.5,4,8,0.5,1,2,0.5,1,2,0.5,2,1,3,4,0,0,1,0,12,Dwight Buycks
19,2011-01-22,Marquette,@,Notre Dame,REG,L,1,36,2,9,0.222,0,5,0,2,4,0.5,0,0,NA,1,1,2,2,1,0,1,2,6,Dwight Buycks
20,2011-01-25,Marquette,NA,UConn,REG,L,1,32,5,9,0.556,3,4,0.75,2,5,0.4,1,1,1,0,4,4,6,1,0,4,4,13,Dwight Buycks
21,2011-01-29,Marquette,NA,Syracuse,REG,W,1,34,2,4,0.5,1,1,1,1,3,0.333,1,4,0.25,0,5,5,8,1,0,4,2,6,Dwight Buycks
22,2011-02-02,Marquette,@,Villanova,REG,L,1,32,3,8,0.375,3,6,0.5,0,2,0,2,2,1,1,1,2,4,0,0,5,2,8,Dwight Buycks
23,2011-02-09,Marquette,@,South Florida,REG,W,1,33,2,7,0.286,1,6,0.167,1,1,1,2,4,0.5,0,0,0,5,1,0,2,0,7,Dwight Buycks
24,2011-02-13,Marquette,@,Georgetown,REG,L,1,31,2,8,0.25,2,7,0.286,0,1,0,0,1,0,0,0,0,0,0,0,3,3,4,Dwight Buycks
25,2011-02-15,Marquette,NA,St. John's (NY),REG,L,1,33,1,6,0.167,1,4,0.25,0,2,0,5,5,1,0,0,0,5,0,0,5,4,7,Dwight Buycks
26,2011-02-19,Marquette,NA,Seton Hall,REG,W,0,31,4,6,0.667,3,4,0.75,1,2,0.5,2,2,1,0,4,4,5,2,0,0,1,11,Dwight Buycks
27,2011-02-24,Marquette,@,UConn,REG,W,0,35,4,11,0.364,2,5,0.4,2,6,0.333,3,5,0.6,1,2,3,2,4,0,1,2,13,Dwight Buycks
28,2011-02-27,Marquette,NA,Providence,REG,W,0,17,0,2,0,0,2,0,0,0,NA,0,0,NA,0,4,4,1,0,0,5,1,0,Dwight Buycks
29,2011-03-02,Marquette,NA,Cincinnati,REG,L,0,31,1,5,0.2,1,3,0.333,0,2,0,0,0,NA,1,1,2,3,2,0,1,0,2,Dwight Buycks
30,2011-03-05,Marquette,@,Seton Hall,REG,L,1,23,5,7,0.714,1,1,1,4,6,0.667,1,2,0.5,2,1,3,2,0,0,1,3,15,Dwight Buycks
31,2011-03-08,Marquette,N,Providence,CTOURN,W,1,20,2,5,0.4,1,3,0.333,1,2,0.5,1,2,0.5,1,5,6,2,2,0,2,2,6,Dwight Buycks
32,2011-03-09,Marquette,N,West Virginia,CTOURN,W,1,26,4,9,0.444,4,9,0.444,0,0,NA,0,0,NA,0,2,2,0,1,0,1,1,8,Dwight Buycks
33,2011-03-10,Marquette,N,Louisville,CTOURN,L,1,21,2,5,0.4,2,3,0.667,0,2,0,0,0,NA,0,3,3,0,0,0,2,0,4,Dwight Buycks
34,2011-03-18,Marquette,N,Xavier,NCAA,W,1,25,3,7,0.429,2,4,0.5,1,3,0.333,1,2,0.5,0,1,1,2,1,0,2,0,8,Dwight Buycks
35,2011-03-20,Marquette,N,Syracuse,NCAA,W,1,25,2,6,0.333,1,5,0.2,1,1,1,1,2,0.5,2,2,4,0,0,0,2,0,6,Dwight Buycks
36,2011-03-25,Marquette,N,UNC,NCAA,L,1,21,0,2,0,0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,3,1,0,Dwight Buycks
NA,36 Games,NA,NA,NA,NA,NA,29,1013,117,254,0.461,78,159,0.491,39,95,0.411,45,66,0.682,25,86,111,121,38,2,84,55,318,Dwight Buycks
