Rk,Date,School,X4,Opponent,Type,X7,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,15,5,8,0.625,5,8,0.625,0,0,NA,1,4,0.25,4,3,7,0,0,0,0,0,11,Jae Crowder
2,2010-11-14,Marquette,NA,Bucknell,REG,W,0,28,2,4,0.5,2,3,0.667,0,1,0,6,9,0.667,2,8,10,1,0,0,1,4,10,Jae Crowder
3,2010-11-17,Marquette,NA,Green Bay,REG,W,0,24,7,11,0.636,6,10,0.6,1,1,1,2,4,0.5,5,4,9,1,2,1,1,1,17,Jae Crowder
4,2010-11-20,Marquette,NA,South Dakota,REG,W,0,17,3,5,0.6,2,4,0.5,1,1,1,0,0,NA,1,6,7,1,0,2,0,2,7,Jae Crowder
5,2010-11-22,Marquette,N,Duke,REG,L,0,30,6,11,0.545,5,7,0.714,1,4,0.25,2,2,1,0,3,3,1,4,0,1,2,15,Jae Crowder
6,2010-11-23,Marquette,N,Gonzaga,REG,L,0,32,4,9,0.444,3,7,0.429,1,2,0.5,1,2,0.5,1,3,4,1,5,1,0,1,10,Jae Crowder
7,2010-11-27,Marquette,@,Milwaukee,REG,W,0,20,3,6,0.5,2,3,0.667,1,3,0.333,2,4,0.5,1,5,6,1,1,0,0,3,9,Jae Crowder
8,2010-12-04,Marquette,NA,Longwood,REG,W,0,22,4,7,0.571,3,4,0.75,1,3,0.333,1,2,0.5,2,4,6,3,3,1,1,1,10,Jae Crowder
9,2010-12-07,Marquette,NA,Texas A&M-Corpus Christi,REG,W,0,22,6,11,0.545,4,6,0.667,2,5,0.4,1,1,1,3,2,5,0,0,1,0,1,15,Jae Crowder
10,2010-12-11,Marquette,NA,Wisconsin,REG,L,0,22,3,4,0.75,2,3,0.667,1,1,1,0,0,NA,1,4,5,1,0,1,2,2,7,Jae Crowder
11,2010-12-18,Marquette,NA,Centenary (LA),REG,W,1,16,3,10,0.3,2,6,0.333,1,4,0.25,1,2,0.5,4,2,6,0,2,2,1,2,8,Jae Crowder
12,2010-12-21,Marquette,NA,Mississippi Valley State,REG,W,1,28,8,15,0.533,5,11,0.455,3,4,0.75,3,5,0.6,2,3,5,3,2,1,0,0,22,Jae Crowder
13,2010-12-29,Marquette,@,Vanderbilt,REG,L,1,35,3,6,0.5,3,4,0.75,0,2,0,2,2,1,4,7,11,2,1,1,2,1,8,Jae Crowder
14,2011-01-01,Marquette,NA,West Virginia,REG,W,1,39,12,14,0.857,10,10,1,2,4,0.5,3,5,0.6,5,3,8,5,4,1,1,1,29,Jae Crowder
15,2011-01-05,Marquette,@,Rutgers,REG,W,1,32,6,12,0.5,3,6,0.5,3,6,0.5,0,0,NA,3,4,7,0,1,0,1,4,15,Jae Crowder
16,2011-01-08,Marquette,@,Pitt,REG,L,1,28,4,12,0.333,2,6,0.333,2,6,0.333,0,2,0,4,3,7,1,0,0,2,4,10,Jae Crowder
17,2011-01-10,Marquette,NA,Notre Dame,REG,W,1,34,6,12,0.5,2,6,0.333,4,6,0.667,2,2,1,1,6,7,1,1,0,0,3,18,Jae Crowder
18,2011-01-15,Marquette,@,Louisville,REG,L,1,27,4,11,0.364,4,8,0.5,0,3,0,0,3,0,2,3,5,0,1,0,0,3,8,Jae Crowder
19,2011-01-18,Marquette,NA,DePaul,REG,W,1,32,7,13,0.538,7,10,0.7,0,3,0,4,6,0.667,6,3,9,6,1,3,0,2,18,Jae Crowder
20,2011-01-22,Marquette,@,Notre Dame,REG,L,1,27,6,8,0.75,3,4,0.75,3,4,0.75,0,0,NA,3,5,8,2,1,0,0,5,15,Jae Crowder
21,2011-01-25,Marquette,NA,UConn,REG,L,1,37,4,13,0.308,3,7,0.429,1,6,0.167,1,2,0.5,2,7,9,3,1,1,0,2,10,Jae Crowder
22,2011-01-29,Marquette,NA,Syracuse,REG,W,1,36,8,16,0.5,7,13,0.538,1,3,0.333,8,10,0.8,1,6,7,1,1,1,0,1,25,Jae Crowder
23,2011-02-02,Marquette,@,Villanova,REG,L,1,24,2,4,0.5,2,2,1,0,2,0,5,5,1,0,4,4,3,1,0,1,5,9,Jae Crowder
24,2011-02-09,Marquette,@,South Florida,REG,W,1,27,5,6,0.833,1,1,1,4,5,0.8,0,1,0,1,3,4,2,2,1,0,3,14,Jae Crowder
25,2011-02-13,Marquette,@,Georgetown,REG,L,1,33,2,7,0.286,2,5,0.4,0,2,0,0,4,0,0,7,7,1,2,4,1,1,4,Jae Crowder
26,2011-02-15,Marquette,NA,St. John's (NY),REG,L,1,32,4,10,0.4,3,6,0.5,1,4,0.25,6,8,0.75,3,6,9,4,2,1,1,1,15,Jae Crowder
27,2011-02-19,Marquette,NA,Seton Hall,REG,W,0,32,4,9,0.444,4,6,0.667,0,3,0,4,6,0.667,1,8,9,1,2,1,1,1,12,Jae Crowder
28,2011-02-24,Marquette,@,UConn,REG,W,0,30,3,9,0.333,3,6,0.5,0,3,0,1,3,0.333,7,4,11,3,0,0,0,4,7,Jae Crowder
29,2011-02-27,Marquette,NA,Providence,REG,W,0,23,2,9,0.222,1,6,0.167,1,3,0.333,7,8,0.875,1,12,13,0,1,1,0,2,12,Jae Crowder
30,2011-03-02,Marquette,NA,Cincinnati,REG,L,0,32,1,4,0.25,0,1,0,1,3,0.333,0,0,NA,0,3,3,1,1,1,1,4,3,Jae Crowder
31,2011-03-05,Marquette,@,Seton Hall,REG,L,1,21,0,2,0,0,1,0,0,1,0,1,3,0.333,0,3,3,0,0,0,1,4,1,Jae Crowder
32,2011-03-08,Marquette,N,Providence,CTOURN,W,0,27,4,9,0.444,3,6,0.5,1,3,0.333,1,4,0.25,1,3,4,2,1,0,2,3,10,Jae Crowder
33,2011-03-09,Marquette,N,West Virginia,CTOURN,W,0,28,1,4,0.25,0,1,0,1,3,0.333,1,2,0.5,2,7,9,2,3,2,1,0,4,Jae Crowder
34,2011-03-10,Marquette,N,Louisville,CTOURN,L,0,22,3,9,0.333,1,4,0.25,2,5,0.4,2,4,0.5,1,2,3,0,0,0,1,3,10,Jae Crowder
35,2011-03-18,Marquette,N,Xavier,NCAA,W,0,29,4,6,0.667,4,4,1,0,2,0,2,2,1,2,4,6,2,0,1,1,3,10,Jae Crowder
36,2011-03-20,Marquette,N,Syracuse,NCAA,W,0,31,4,8,0.5,3,6,0.5,1,2,0.5,7,8,0.875,3,4,7,3,1,0,2,2,16,Jae Crowder
