Rk,Date,School,X4,Opponent,Type,X7,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,21,4,10,0.4,3,7,0.429,1,3,0.333,4,5,0.8,1,1,2,2,1,0,1,1,13,Darius Johnson-Odom
2,2010-11-14,Marquette,NA,Bucknell,REG,W,0,21,2,6,0.333,2,3,0.667,0,3,0,4,6,0.667,0,2,2,2,2,0,4,4,8,Darius Johnson-Odom
3,2010-11-17,Marquette,NA,Green Bay,REG,W,1,31,3,9,0.333,2,7,0.286,1,2,0.5,4,7,0.571,0,5,5,2,0,1,3,2,11,Darius Johnson-Odom
4,2010-11-20,Marquette,NA,South Dakota,REG,W,1,33,3,9,0.333,3,5,0.6,0,4,0,8,8,1,1,2,3,3,0,0,2,2,14,Darius Johnson-Odom
5,2010-11-22,Marquette,N,Duke,REG,L,1,36,4,15,0.267,3,9,0.333,1,6,0.167,4,5,0.8,0,6,6,2,1,0,2,3,13,Darius Johnson-Odom
6,2010-11-23,Marquette,N,Gonzaga,REG,L,1,25,4,12,0.333,2,5,0.4,2,7,0.286,3,4,0.75,0,4,4,1,0,0,1,4,13,Darius Johnson-Odom
7,2010-11-27,Marquette,@,Milwaukee,REG,W,1,35,10,14,0.714,5,7,0.714,5,7,0.714,4,4,1,0,4,4,3,0,0,1,2,29,Darius Johnson-Odom
8,2010-12-04,Marquette,NA,Longwood,REG,W,1,20,6,14,0.429,5,8,0.625,1,6,0.167,1,2,0.5,0,5,5,3,0,0,0,2,14,Darius Johnson-Odom
9,2010-12-07,Marquette,NA,Texas A&M-Corpus Christi,REG,W,1,24,4,9,0.444,3,5,0.6,1,4,0.25,3,4,0.75,0,1,1,2,1,0,3,1,12,Darius Johnson-Odom
10,2010-12-11,Marquette,NA,Wisconsin,REG,L,1,27,1,9,0.111,1,6,0.167,0,3,0,6,6,1,3,2,5,0,1,0,1,2,8,Darius Johnson-Odom
11,2010-12-18,Marquette,NA,Centenary (LA),REG,W,1,20,7,13,0.538,6,8,0.75,1,5,0.2,1,2,0.5,0,1,1,2,1,1,2,3,16,Darius Johnson-Odom
12,2010-12-21,Marquette,NA,Mississippi Valley State,REG,W,1,32,7,12,0.583,2,5,0.4,5,7,0.714,0,0,NA,1,5,6,6,0,1,0,1,19,Darius Johnson-Odom
13,2010-12-29,Marquette,@,Vanderbilt,REG,L,1,27,5,12,0.417,3,8,0.375,2,4,0.5,2,5,0.4,0,3,3,5,0,0,2,3,14,Darius Johnson-Odom
14,2011-01-01,Marquette,NA,West Virginia,REG,W,1,29,8,15,0.533,6,10,0.6,2,5,0.4,3,6,0.5,2,2,4,2,2,0,3,3,21,Darius Johnson-Odom
15,2011-01-05,Marquette,@,Rutgers,REG,W,1,36,9,14,0.643,4,6,0.667,5,8,0.625,6,8,0.75,0,0,0,2,0,1,3,1,29,Darius Johnson-Odom
16,2011-01-08,Marquette,@,Pitt,REG,L,1,35,8,18,0.444,7,12,0.583,1,6,0.167,3,5,0.6,2,1,3,5,0,0,0,5,20,Darius Johnson-Odom
17,2011-01-10,Marquette,NA,Notre Dame,REG,W,1,27,4,9,0.444,1,4,0.25,3,5,0.6,2,2,1,0,2,2,5,1,0,3,4,13,Darius Johnson-Odom
18,2011-01-15,Marquette,@,Louisville,REG,L,1,37,3,13,0.231,1,6,0.167,2,7,0.286,8,10,0.8,0,7,7,2,0,1,1,1,16,Darius Johnson-Odom
19,2011-01-18,Marquette,NA,DePaul,REG,W,1,34,6,13,0.462,2,6,0.333,4,7,0.571,4,8,0.5,0,3,3,4,2,1,1,0,20,Darius Johnson-Odom
20,2011-01-22,Marquette,@,Notre Dame,REG,L,1,33,6,14,0.429,4,7,0.571,2,7,0.286,11,13,0.846,0,1,1,4,0,0,1,3,25,Darius Johnson-Odom
21,2011-01-25,Marquette,NA,UConn,REG,L,1,33,7,12,0.583,4,7,0.571,3,5,0.6,1,2,0.5,0,2,2,0,1,0,1,3,18,Darius Johnson-Odom
22,2011-01-29,Marquette,NA,Syracuse,REG,W,1,30,4,7,0.571,2,3,0.667,2,4,0.5,7,7,1,0,1,1,3,0,0,2,4,17,Darius Johnson-Odom
23,2011-02-02,Marquette,@,Villanova,REG,L,1,36,7,21,0.333,6,16,0.375,1,5,0.2,0,0,NA,0,2,2,2,2,0,1,2,15,Darius Johnson-Odom
24,2011-02-09,Marquette,@,South Florida,REG,W,1,28,2,6,0.333,1,4,0.25,1,2,0.5,2,6,0.333,0,3,3,1,0,0,4,4,7,Darius Johnson-Odom
25,2011-02-13,Marquette,@,Georgetown,REG,L,1,32,7,17,0.412,5,11,0.455,2,6,0.333,4,4,1,1,2,3,0,1,0,2,3,20,Darius Johnson-Odom
26,2011-02-15,Marquette,NA,St. John's (NY),REG,L,1,37,4,10,0.4,2,4,0.5,2,6,0.333,4,6,0.667,0,3,3,2,1,0,3,4,14,Darius Johnson-Odom
27,2011-02-19,Marquette,NA,Seton Hall,REG,W,1,32,4,11,0.364,2,6,0.333,2,5,0.4,3,5,0.6,1,1,2,3,0,0,2,3,13,Darius Johnson-Odom
28,2011-02-24,Marquette,@,UConn,REG,W,1,30,7,16,0.438,7,9,0.778,0,7,0,3,4,0.75,0,4,4,3,4,0,2,2,17,Darius Johnson-Odom
29,2011-02-27,Marquette,NA,Providence,REG,W,1,27,7,10,0.7,4,6,0.667,3,4,0.75,0,0,NA,0,3,3,4,2,0,3,1,17,Darius Johnson-Odom
30,2011-03-02,Marquette,NA,Cincinnati,REG,L,1,32,5,11,0.455,4,6,0.667,1,5,0.2,4,6,0.667,1,4,5,2,1,0,2,2,15,Darius Johnson-Odom
31,2011-03-05,Marquette,@,Seton Hall,REG,L,1,31,5,16,0.313,2,7,0.286,3,9,0.333,0,0,NA,0,2,2,1,0,1,2,4,13,Darius Johnson-Odom
32,2011-03-08,Marquette,N,Providence,CTOURN,W,1,32,9,17,0.529,6,11,0.545,3,6,0.5,2,2,1,1,4,5,1,1,0,1,0,23,Darius Johnson-Odom
33,2011-03-09,Marquette,N,West Virginia,CTOURN,W,1,27,4,10,0.4,2,5,0.4,2,5,0.4,1,2,0.5,0,0,0,1,1,0,3,3,11,Darius Johnson-Odom
34,2011-03-10,Marquette,N,Louisville,CTOURN,L,1,29,5,14,0.357,5,10,0.5,0,4,0,3,7,0.429,2,2,4,2,2,0,3,3,13,Darius Johnson-Odom
35,2011-03-18,Marquette,N,Xavier,NCAA,W,1,32,6,11,0.545,2,5,0.4,4,6,0.667,3,5,0.6,0,0,0,2,0,0,5,3,19,Darius Johnson-Odom
36,2011-03-20,Marquette,N,Syracuse,NCAA,W,1,33,7,15,0.467,4,8,0.5,3,7,0.429,0,0,NA,1,1,2,4,3,0,1,1,17,Darius Johnson-Odom
37,2011-03-25,Marquette,N,UNC,NCAA,L,1,25,2,9,0.222,2,6,0.333,0,3,0,3,5,0.6,1,3,4,0,0,0,4,3,7,Darius Johnson-Odom
NA,37 Games,NA,NA,NA,NA,NA,35,1109,196,453,0.433,125,258,0.484,71,195,0.364,121,171,0.708,18,94,112,88,31,7,75,92,584,Darius Johnson-Odom
