Rk,Date,School,X4,Opponent,Type,X7,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,13,7,7,1,7,7,1,0,0,NA,3,3,1,2,3,5,0,0,2,1,1,17,Davante Gardner
2,2010-11-14,Marquette,NA,Bucknell,REG,W,0,12,4,6,0.667,4,6,0.667,0,0,NA,3,4,0.75,2,5,7,0,0,0,1,1,11,Davante Gardner
3,2010-11-17,Marquette,NA,Green Bay,REG,W,0,11,3,6,0.5,3,6,0.5,0,0,NA,5,8,0.625,2,1,3,2,0,1,0,4,11,Davante Gardner
4,2010-11-20,Marquette,NA,South Dakota,REG,W,0,2,0,1,0,0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,Davante Gardner
5,2010-11-22,Marquette,N,Duke,REG,L,0,15,4,7,0.571,4,7,0.571,0,0,NA,1,2,0.5,4,0,4,0,1,0,2,1,9,Davante Gardner
6,2010-11-23,Marquette,N,Gonzaga,REG,L,0,7,0,2,0,0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,Davante Gardner
7,2010-12-07,Marquette,NA,Texas A&M-Corpus Christi,REG,W,0,15,4,7,0.571,4,7,0.571,0,0,NA,2,4,0.5,2,1,3,1,1,0,0,2,10,Davante Gardner
8,2010-12-11,Marquette,NA,Wisconsin,REG,L,0,18,2,2,1,2,2,1,0,0,NA,5,6,0.833,0,3,3,0,1,0,0,0,9,Davante Gardner
9,2010-12-18,Marquette,NA,Centenary (LA),REG,W,0,3,0,1,0,0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,0,0,1,0,Davante Gardner
10,2010-12-21,Marquette,NA,Mississippi Valley State,REG,W,0,12,3,5,0.6,3,5,0.6,0,0,NA,1,1,1,0,3,3,1,0,0,1,2,7,Davante Gardner
11,2010-12-29,Marquette,@,Vanderbilt,REG,L,0,3,1,1,1,1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,2,Davante Gardner
12,2011-01-05,Marquette,@,Rutgers,REG,W,0,8,0,1,0,0,1,0,0,0,NA,1,2,0.5,2,0,2,1,0,1,2,2,1,Davante Gardner
13,2011-01-08,Marquette,@,Pitt,REG,L,0,8,0,1,0,0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,Davante Gardner
