Rk,Date,School,X4,Opponent,Type,X7,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,2010-11-12,Marquette,NA,Prairie View,REG,W,1,26,7,12,0.583,7,11,0.636,0,1,0,4,5,0.8,3,3,6,3,2,3,2,2,18,Jimmy Butler
2,2010-11-14,Marquette,NA,Bucknell,REG,W,1,38,4,11,0.364,3,9,0.333,1,2,0.5,2,5,0.4,1,4,5,1,2,0,2,0,11,Jimmy Butler
3,2010-11-17,Marquette,NA,Green Bay,REG,W,1,28,3,7,0.429,3,7,0.429,0,0,NA,7,7,1,0,4,4,2,0,0,1,2,13,Jimmy Butler
4,2010-11-20,Marquette,NA,South Dakota,REG,W,1,26,6,11,0.545,6,10,0.6,0,1,0,8,10,0.8,6,3,9,4,3,0,1,0,20,Jimmy Butler
5,2010-11-22,Marquette,N,Duke,REG,L,1,38,9,19,0.474,9,17,0.529,0,2,0,4,6,0.667,1,5,6,1,2,0,2,3,22,Jimmy Butler
6,2010-11-23,Marquette,N,Gonzaga,REG,L,1,38,7,13,0.538,5,8,0.625,2,5,0.4,6,9,0.667,2,4,6,1,0,0,0,2,22,Jimmy Butler
7,2010-11-27,Marquette,@,Milwaukee,REG,W,1,35,3,9,0.333,3,8,0.375,0,1,0,7,8,0.875,1,1,2,2,1,0,3,1,13,Jimmy Butler
8,2010-12-04,Marquette,NA,Longwood,REG,W,1,22,2,7,0.286,2,7,0.286,0,0,NA,4,4,1,3,8,11,1,1,0,2,0,8,Jimmy Butler
9,2010-12-07,Marquette,NA,Texas A&M-Corpus Christi,REG,W,1,32,5,7,0.714,4,5,0.8,1,2,0.5,4,4,1,6,3,9,3,2,0,0,0,15,Jimmy Butler
10,2010-12-11,Marquette,NA,Wisconsin,REG,L,1,37,6,14,0.429,4,11,0.364,2,3,0.667,1,3,0.333,2,2,4,2,1,0,1,4,15,Jimmy Butler
11,2010-12-18,Marquette,NA,Centenary (LA),REG,W,1,31,3,9,0.333,3,9,0.333,0,0,NA,4,5,0.8,2,10,12,2,1,2,0,1,10,Jimmy Butler
12,2010-12-21,Marquette,NA,Mississippi Valley State,REG,W,1,28,6,8,0.75,6,7,0.857,0,1,0,5,6,0.833,1,3,4,3,1,0,4,1,17,Jimmy Butler
13,2010-12-29,Marquette,@,Vanderbilt,REG,L,1,38,6,9,0.667,4,6,0.667,2,3,0.667,1,2,0.5,0,4,4,2,1,0,0,1,15,Jimmy Butler
14,2011-01-01,Marquette,NA,West Virginia,REG,W,1,35,2,4,0.5,2,4,0.5,0,0,NA,6,8,0.75,1,6,7,6,2,2,1,0,10,Jimmy Butler
15,2011-01-05,Marquette,@,Rutgers,REG,W,1,37,4,7,0.571,4,7,0.571,0,0,NA,8,9,0.889,2,4,6,0,1,0,3,0,16,Jimmy Butler
16,2011-01-08,Marquette,@,Pitt,REG,L,1,39,4,13,0.308,4,12,0.333,0,1,0,9,10,0.9,5,2,7,1,0,0,0,1,17,Jimmy Butler
17,2011-01-10,Marquette,NA,Notre Dame,REG,W,1,37,5,8,0.625,5,8,0.625,0,0,NA,5,7,0.714,3,3,6,4,1,0,1,2,15,Jimmy Butler
18,2011-01-15,Marquette,@,Louisville,REG,L,1,39,4,9,0.444,4,8,0.5,0,1,0,7,9,0.778,4,5,9,1,3,0,2,1,15,Jimmy Butler
19,2011-01-18,Marquette,NA,DePaul,REG,W,1,29,8,10,0.8,8,10,0.8,0,0,NA,4,4,1,4,4,8,1,4,0,0,2,20,Jimmy Butler
20,2011-01-22,Marquette,@,Notre Dame,REG,L,1,39,4,12,0.333,1,8,0.125,3,4,0.75,1,1,1,0,2,2,3,1,1,2,2,12,Jimmy Butler
21,2011-01-25,Marquette,NA,UConn,REG,L,1,39,7,14,0.5,7,13,0.538,0,1,0,7,7,1,4,4,8,3,1,0,2,3,21,Jimmy Butler
22,2011-01-29,Marquette,NA,Syracuse,REG,W,1,35,6,10,0.6,4,8,0.5,2,2,1,5,8,0.625,3,5,8,3,0,0,1,1,19,Jimmy Butler
23,2011-02-02,Marquette,@,Villanova,REG,L,1,38,6,13,0.462,5,10,0.5,1,3,0.333,2,2,1,1,2,3,1,0,0,1,2,15,Jimmy Butler
24,2011-02-09,Marquette,@,South Florida,REG,W,0,32,5,13,0.385,5,12,0.417,0,1,0,2,3,0.667,4,2,6,5,2,0,0,1,12,Jimmy Butler
25,2011-02-13,Marquette,@,Georgetown,REG,L,0,33,2,6,0.333,2,3,0.667,0,3,0,6,7,0.857,2,3,5,3,2,0,4,3,10,Jimmy Butler
26,2011-02-15,Marquette,NA,St. John's (NY),REG,L,1,36,9,13,0.692,9,11,0.818,0,2,0,5,7,0.714,1,6,7,2,0,0,3,2,23,Jimmy Butler
27,2011-02-19,Marquette,NA,Seton Hall,REG,W,1,38,7,9,0.778,7,9,0.778,0,0,NA,2,2,1,2,1,3,1,2,0,0,0,16,Jimmy Butler
28,2011-02-24,Marquette,@,UConn,REG,W,1,44,6,16,0.375,5,14,0.357,1,2,0.5,3,7,0.429,3,4,7,0,0,1,3,2,16,Jimmy Butler
29,2011-02-27,Marquette,NA,Providence,REG,W,1,31,5,9,0.556,5,8,0.625,0,1,0,5,7,0.714,3,3,6,3,2,2,2,2,15,Jimmy Butler
30,2011-03-02,Marquette,NA,Cincinnati,REG,L,1,39,7,15,0.467,6,12,0.5,1,3,0.333,15,17,0.882,3,3,6,0,3,0,1,2,30,Jimmy Butler
31,2011-03-05,Marquette,@,Seton Hall,REG,L,1,38,4,11,0.364,3,7,0.429,1,4,0.25,11,13,0.846,2,3,5,1,1,1,1,1,20,Jimmy Butler
32,2011-03-08,Marquette,N,Providence,CTOURN,W,1,31,5,8,0.625,4,7,0.571,1,1,1,8,10,0.8,3,7,10,8,1,0,1,0,19,Jimmy Butler
33,2011-03-09,Marquette,N,West Virginia,CTOURN,W,1,36,2,5,0.4,1,4,0.25,1,1,1,4,7,0.571,1,1,2,2,1,0,2,2,9,Jimmy Butler
34,2011-03-10,Marquette,N,Louisville,CTOURN,L,1,29,3,10,0.3,2,7,0.286,1,3,0.333,7,9,0.778,3,3,6,2,2,0,2,1,14,Jimmy Butler
35,2011-03-18,Marquette,N,Xavier,NCAA,W,1,36,5,8,0.625,5,8,0.625,0,0,NA,5,6,0.833,1,4,5,4,3,0,2,0,15,Jimmy Butler
36,2011-03-20,Marquette,N,Syracuse,NCAA,W,1,39,4,11,0.364,4,10,0.4,0,1,0,2,2,1,4,1,5,3,3,0,2,1,10,Jimmy Butler
37,2011-03-25,Marquette,N,UNC,NCAA,L,1,36,6,12,0.5,6,9,0.667,0,3,0,2,4,0.5,3,3,6,2,1,1,0,1,14,Jimmy Butler
NA,37 Games,NA,NA,NA,NA,NA,35,1282,187,382,0.49,167,324,0.515,20,58,0.345,188,240,0.783,90,135,225,86,53,13,54,49,582,Jimmy Butler
