Rk,Date,School,X4,Opponent,Type,X7,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,2010-11-12,Marquette,NA,Prairie View,REG,W,0,8,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,1,0,1,0,0,Jamail Jones
2,2010-11-17,Marquette,NA,Green Bay,REG,W,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,Jamail Jones
3,2010-11-20,Marquette,NA,South Dakota,REG,W,0,14,1,2,0.5,1,1,1,0,1,0,0,0,NA,0,2,2,1,1,0,2,2,2,Jamail Jones
4,2010-12-04,Marquette,NA,Longwood,REG,W,0,6,0,2,0,0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,1,1,0,Jamail Jones
5,2010-12-07,Marquette,NA,Texas A&M-Corpus Christi,REG,W,0,10,0,1,0,0,1,0,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,0,Jamail Jones
6,2010-12-11,Marquette,NA,Wisconsin,REG,L,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,Jamail Jones
7,2010-12-18,Marquette,NA,Centenary (LA),REG,W,0,11,4,6,0.667,1,2,0.5,3,4,0.75,0,0,NA,1,0,1,0,0,1,2,3,11,Jamail Jones
8,2010-12-21,Marquette,NA,Mississippi Valley State,REG,W,0,13,1,6,0.167,1,4,0.25,0,2,0,3,3,1,2,1,3,1,1,0,1,0,5,Jamail Jones
9,2011-01-08,Marquette,@,Pitt,REG,L,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,Jamail Jones
10,2011-01-10,Marquette,NA,Notre Dame,REG,W,0,2,0,1,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,Jamail Jones
11,2011-01-18,Marquette,NA,DePaul,REG,W,0,4,0,2,0,0,0,NA,0,2,0,0,0,NA,0,1,1,0,0,0,0,0,0,Jamail Jones
12,2011-02-13,Marquette,@,Georgetown,REG,L,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,Jamail Jones
13,2011-02-27,Marquette,NA,Providence,REG,W,0,4,0,1,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,Jamail Jones
14,2011-03-05,Marquette,@,Seton Hall,REG,L,0,5,1,2,0.5,1,1,1,0,1,0,0,0,NA,1,0,1,0,0,0,0,2,2,Jamail Jones
15,2011-03-08,Marquette,N,Providence,CTOURN,W,0,5,1,1,1,0,0,NA,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,Jamail Jones
16,2011-03-10,Marquette,N,Louisville,CTOURN,L,0,17,1,3,0.333,1,2,0.5,0,1,0,2,2,1,2,5,7,0,2,0,0,2,4,Jamail Jones
17,2011-03-18,Marquette,N,Xavier,NCAA,W,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,Jamail Jones
18,2011-03-25,Marquette,N,UNC,NCAA,L,0,2,0,2,0,0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,1,0,0,Jamail Jones
NA,18 Games,NA,NA,NA,NA,NA,0,110,9,29,0.31,5,13,0.385,4,16,0.25,5,5,1,7,14,21,3,6,1,9,10,27,Jamail Jones
