Rk,Date,School,X4,Opponent,Type,X7,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,2010-11-12,Marquette,NA,Prairie View,REG,W,1,10,1,1,1,1,1,1,0,0,NA,0,0,NA,0,2,2,1,1,1,0,0,2,Chris Otule
2,2010-11-14,Marquette,NA,Bucknell,REG,W,1,11,2,3,0.667,2,3,0.667,0,0,NA,0,0,NA,0,2,2,0,1,0,0,0,4,Chris Otule
3,2010-11-17,Marquette,NA,Green Bay,REG,W,1,11,1,2,0.5,1,2,0.5,0,0,NA,0,0,NA,1,1,2,0,0,4,0,3,2,Chris Otule
4,2010-11-20,Marquette,NA,South Dakota,REG,W,1,15,6,8,0.75,6,8,0.75,0,0,NA,3,7,0.429,3,5,8,0,0,2,2,3,15,Chris Otule
5,2010-11-22,Marquette,N,Duke,REG,L,1,11,2,3,0.667,2,3,0.667,0,0,NA,0,0,NA,3,0,3,0,0,1,2,2,4,Chris Otule
6,2010-11-23,Marquette,N,Gonzaga,REG,L,1,16,2,2,1,2,2,1,0,0,NA,0,0,NA,0,2,2,0,0,1,0,4,4,Chris Otule
7,2010-11-27,Marquette,@,Milwaukee,REG,W,1,19,2,2,1,2,2,1,0,0,NA,0,0,NA,0,2,2,1,0,4,1,3,4,Chris Otule
8,2010-12-04,Marquette,NA,Longwood,REG,W,1,19,9,9,1,9,9,1,0,0,NA,1,3,0.333,1,4,5,0,0,3,0,4,19,Chris Otule
9,2010-12-07,Marquette,NA,Texas A&M-Corpus Christi,REG,W,1,11,1,3,0.333,1,3,0.333,0,0,NA,2,2,1,1,2,3,1,1,1,0,3,4,Chris Otule
10,2010-12-11,Marquette,NA,Wisconsin,REG,L,1,8,0,1,0,0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,3,0,1,0,Chris Otule
11,2010-12-18,Marquette,NA,Centenary (LA),REG,W,0,9,0,2,0,0,2,0,0,0,NA,2,5,0.4,3,0,3,0,0,0,2,2,2,Chris Otule
12,2010-12-21,Marquette,NA,Mississippi Valley State,REG,W,0,10,1,1,1,1,1,1,0,0,NA,0,0,NA,0,4,4,0,0,0,0,2,2,Chris Otule
13,2010-12-29,Marquette,@,Vanderbilt,REG,L,1,20,6,7,0.857,6,7,0.857,0,0,NA,0,1,0,1,1,2,0,0,1,1,4,12,Chris Otule
14,2011-01-01,Marquette,NA,West Virginia,REG,W,1,29,1,6,0.167,1,6,0.167,0,0,NA,0,0,NA,3,0,3,0,0,1,2,2,2,Chris Otule
