Rk,Date,School,X4,Opponent,Type,X7,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,2010-11-12,Marquette,NA,Prairie View,REG,W,1,19,4,6,0.667,4,6,0.667,0,0,NA,4,4,1,0,3,3,0,1,0,0,4,12,Erik Williams
2,2010-11-14,Marquette,NA,Bucknell,REG,W,1,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,1,0,1,0,0,1,0,Erik Williams
3,2010-11-17,Marquette,NA,Green Bay,REG,W,0,9,1,1,1,1,1,1,0,0,NA,0,0,NA,0,2,2,0,0,0,2,1,2,Erik Williams
4,2010-11-20,Marquette,NA,South Dakota,REG,W,0,9,2,2,1,2,2,1,0,0,NA,0,0,NA,1,3,4,0,0,0,1,0,4,Erik Williams
5,2010-11-27,Marquette,@,Milwaukee,REG,W,0,6,1,2,0.5,1,1,1,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,2,Erik Williams
6,2010-12-04,Marquette,NA,Longwood,REG,W,0,4,0,2,0,0,2,0,0,0,NA,0,0,NA,1,0,1,0,0,0,1,0,0,Erik Williams
7,2010-12-07,Marquette,NA,Texas A&M-Corpus Christi,REG,W,0,8,0,2,0,0,2,0,0,0,NA,0,2,0,0,0,0,0,0,0,0,2,0,Erik Williams
8,2010-12-11,Marquette,NA,Wisconsin,REG,L,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,Erik Williams
9,2010-12-18,Marquette,NA,Centenary (LA),REG,W,0,23,3,9,0.333,3,9,0.333,0,0,NA,1,1,1,5,5,10,0,1,0,0,1,7,Erik Williams
10,2010-12-21,Marquette,NA,Mississippi Valley State,REG,W,0,14,4,7,0.571,4,7,0.571,0,0,NA,0,0,NA,3,1,4,0,0,0,1,4,8,Erik Williams
11,2010-12-29,Marquette,@,Vanderbilt,REG,L,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,Erik Williams
12,2011-01-10,Marquette,NA,Notre Dame,REG,W,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,Erik Williams
13,2011-01-15,Marquette,@,Louisville,REG,L,0,1,0,1,0,0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,Erik Williams
14,2011-01-18,Marquette,NA,DePaul,REG,W,0,3,0,0,NA,0,0,NA,0,0,NA,1,2,0.5,0,0,0,0,0,0,0,0,1,Erik Williams
15,2011-02-24,Marquette,@,UConn,REG,W,1,7,0,1,0,0,1,0,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,0,Erik Williams
16,2011-02-27,Marquette,NA,Providence,REG,W,1,12,3,5,0.6,3,5,0.6,0,0,NA,0,0,NA,3,2,5,0,0,0,2,1,6,Erik Williams
17,2011-03-02,Marquette,NA,Cincinnati,REG,L,1,2,1,1,1,1,1,1,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,2,Erik Williams
18,2011-03-05,Marquette,@,Seton Hall,REG,L,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,Erik Williams
19,2011-03-08,Marquette,N,Providence,CTOURN,W,1,9,1,4,0.25,1,4,0.25,0,0,NA,0,0,NA,1,2,3,1,0,0,0,0,2,Erik Williams
20,2011-03-09,Marquette,N,West Virginia,CTOURN,W,1,6,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,Erik Williams
21,2011-03-10,Marquette,N,Louisville,CTOURN,L,1,7,1,1,1,1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,Erik Williams
22,2011-03-18,Marquette,N,Xavier,NCAA,W,1,9,2,3,0.667,2,2,1,0,1,0,1,1,1,0,2,2,0,0,0,0,0,5,Erik Williams
23,2011-03-20,Marquette,N,Syracuse,NCAA,W,1,4,0,1,0,0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,Erik Williams
24,2011-03-25,Marquette,N,UNC,NCAA,L,1,6,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,0,Erik Williams
NA,24 Games,NA,NA,NA,NA,NA,11,168,23,48,0.479,23,46,0.5,0,2,0,7,10,0.7,17,21,38,3,4,0,8,16,53,Erik Williams
